irisevtid,Displacement,Magnitude,distance_deg
11013189,n,5.7,95.89
11023396,n,5.5,109.81
11011957,y,5.8,119.59
11088200,n,5.7,100.12
11145087,y,5.5,30.19
11153419,n,5.6,125.01
11073747,n,5.8,135.35
10639985,y,6.4,113.93
10560072,y,6.2,41.07
10118394,y,6.2,42.43
